NmKGE_cmd,Log(CMD),Wet Threshold,Dry Threshold
0,#NUM!,2.535581621,2.847262721
0.721319969,-0.141872044,2.535581621,2.847262721
1.269897949,0.103768822,2.535581621,2.847262721
1.537156534,0.186718095,2.535581621,2.847262721
1.756487068,0.244644957,2.535581621,2.847262721
2.099923364,0.322203446,2.535581621,2.847262721
2.402457926,0.380655791,2.535581621,2.847262721
3.114762232,0.4934249,2.535581621,2.847262721
3.500304751,0.544105857,2.535581621,2.847262721
3.731555083,0.571889857,2.535581621,2.847262721
4.097441159,0.612512726,2.535581621,2.847262721
5.250377185,0.720190504,2.535581621,2.847262721
6.014079506,0.779169165,2.535581621,2.847262721
7.338459069,0.865604876,2.535581621,2.847262721
8.714654432,0.94025017,2.535581621,2.847262721
9.106759383,0.959363862,2.535581621,2.847262721
9.434400295,0.974714299,2.535581621,2.847262721
9.696943793,0.986634878,2.535581621,2.847262721
9.989725537,0.999553556,2.535581621,2.847262721
10.38905129,1.01657589,2.535581621,2.847262721
11.66790405,1.066992849,2.535581621,2.847262721
12.25223338,1.088215261,2.535581621,2.847262721
13.11464554,1.117756557,2.535581621,2.847262721
14.30039387,1.155347999,2.535581621,2.847262721
14.64828314,1.165786726,2.535581621,2.847262721
14.67427546,1.166556667,2.535581621,2.847262721
14.83051154,1.171156131,2.535581621,2.847262721
15.49116681,1.19008413,2.535581621,2.847262721
16.05522397,1.205616368,2.535581621,2.847262721
16.66826298,1.221890344,2.535581621,2.847262721
17.56758876,1.244712157,2.535581621,2.847262721
18.63822119,1.270404461,2.535581621,2.847262721
18.61339787,1.269825661,2.535581621,2.847262721
19.82014436,1.297106813,2.535581621,2.847262721
21.0690092,1.323644113,2.535581621,2.847262721
22.5266881,1.352697346,2.535581621,2.847262721
24.23237197,1.384395927,2.535581621,2.847262721
26.20889257,1.418448671,2.535581621,2.847262721
28.22232686,1.450592817,2.535581621,2.847262721
30.46175466,1.483754916,2.535581621,2.847262721
31.26346436,1.495037101,2.535581621,2.847262721
31.87814491,1.50349304,2.535581621,2.847262721
32.22335235,1.50817072,2.535581621,2.847262721
31.83488947,1.502903346,2.535581621,2.847262721
32.58439064,1.513009604,2.535581621,2.847262721
33.83562653,1.529374223,2.535581621,2.847262721
36.17173842,1.558369382,2.535581621,2.847262721
38.40159606,1.584349275,2.535581621,2.847262721
39.52939673,1.596920187,2.535581621,2.847262721
40.04912831,1.602593068,2.535581621,2.847262721
41.39429539,1.616940494,2.535581621,2.847262721
43.52616873,1.638750441,2.535581621,2.847262721
43.4901846,1.638391251,2.535581621,2.847262721
42.35902612,1.626945967,2.535581621,2.847262721
43.10694134,1.634547209,2.535581621,2.847262721
44.71654434,1.650468234,2.535581621,2.847262721
45.06920633,1.65387991,2.535581621,2.847262721
46.08147354,1.663526358,2.535581621,2.847262721
47.15832157,1.67355834,2.535581621,2.847262721
48.39602363,1.68480968,2.535581621,2.847262721
49.85739388,1.697729574,2.535581621,2.847262721
51.49690659,1.711781142,2.535581621,2.847262721
53.0089989,1.724349602,2.535581621,2.847262721
52.33652394,1.718804874,2.535581621,2.847262721
53.19813308,1.725896392,2.535581621,2.847262721
54.01334333,1.73250106,2.535581621,2.847262721
55.35581404,1.743163242,2.535581621,2.847262721
57.14303439,1.756963298,2.535581621,2.847262721
59.05461434,1.771253838,2.535581621,2.847262721
61.1929568,1.786701439,2.535581621,2.847262721
61.69773756,1.790269239,2.535581621,2.847262721
62.02715853,1.792581887,2.535581621,2.847262721
64.33790768,1.808466933,2.535581621,2.847262721
67.01906882,1.826198389,2.535581621,2.847262721
69.23566484,1.840329867,2.535581621,2.847262721
70.40552012,1.847606711,2.535581621,2.847262721
73.77541751,1.867911676,2.535581621,2.847262721
77.27934272,1.88806342,2.535581621,2.847262721
80.63410961,1.906518795,2.535581621,2.847262721
84.41830516,1.926436629,2.535581621,2.847262721
87.96570646,1.944313395,2.535581621,2.847262721
86.23904211,1.935703924,2.535581621,2.847262721
83.63149351,1.922369853,2.535581621,2.847262721
85.81869535,1.933581908,2.535581621,2.847262721
87.80793067,1.943533742,2.535581621,2.847262721
86.70362671,1.938037264,2.535581621,2.847262721
88.55557305,1.947215898,2.535581621,2.847262721
90.73484536,1.957774103,2.535581621,2.847262721
91.46675179,1.961263256,2.535581621,2.847262721
89.16017051,1.95017089,2.535581621,2.847262721
91.04120851,1.959238014,2.535581621,2.847262721
94.50682195,1.975463159,2.535581621,2.847262721
97.5574018,1.989260225,2.535581621,2.847262721
101.1354277,2.004903315,2.535581621,2.847262721
104.8307572,2.020488723,2.535581621,2.847262721
107.641116,2.031978192,2.535581621,2.847262721
111.7490579,2.048243871,2.535581621,2.847262721
116.2198473,2.0652803,2.535581621,2.847262721
120.9231925,2.082509605,2.535581621,2.847262721
124.0378839,2.093554349,2.535581621,2.847262721
125.5525584,2.098825567,2.535581621,2.847262721
125.5160755,2.098699352,2.535581621,2.847262721
127.7672957,2.106419703,2.535581621,2.847262721
130.315576,2.114996328,2.535581621,2.847262721
133.8214153,2.126525619,2.535581621,2.847262721
137.1079603,2.13706267,2.535581621,2.847262721
141.398693,2.150445395,2.535581621,2.847262721
145.4231008,2.162633401,2.535581621,2.847262721
147.725225,2.16945466,2.535581621,2.847262721
151.4266155,2.180202216,2.535581621,2.847262721
155.0311646,2.190419009,2.535581621,2.847262721
158.591519,2.200279959,2.535581621,2.847262721
162.6972734,2.211380275,2.535581621,2.847262721
165.5101957,2.218824752,2.535581621,2.847262721
167.5591941,2.224168263,2.535581621,2.847262721
168.7716262,2.227299435,2.535581621,2.847262721
169.1847487,2.228361211,2.535581621,2.847262721
169.928096,2.230265191,2.535581621,2.847262721
166.0893621,2.220341817,2.535581621,2.847262721
166.7011939,2.22193871,2.535581621,2.847262721
167.0521354,2.222852032,2.535581621,2.847262721
168.3750848,2.226277827,2.535581621,2.847262721
167.6352214,2.224365272,2.535581621,2.847262721
171.4136297,2.234045351,2.535581621,2.847262721
175.6780925,2.244717607,2.535581621,2.847262721
174.3261641,2.241362574,2.535581621,2.847262721
169.1971781,2.228393116,2.535581621,2.847262721
171.5727732,2.234448371,2.535581621,2.847262721
174.9356064,2.242878215,2.535581621,2.847262721
179.1086256,2.253116501,2.535581621,2.847262721
183.5213102,2.263686501,2.535581621,2.847262721
187.369216,2.27269824,2.535581621,2.847262721
191.1398765,2.281351301,2.535581621,2.847262721
192.819486,2.285150921,2.535581621,2.847262721
196.3079622,2.292937915,2.535581621,2.847262721
199.5320512,2.300012667,2.535581621,2.847262721
203.6837426,2.308956366,2.535581621,2.847262721
208.0137133,2.318091967,2.535581621,2.847262721
212.344094,2.327040186,2.535581621,2.847262721
216.0007324,2.334455224,2.535581621,2.847262721
219.5197401,2.34147358,2.535581621,2.847262721
223.1838439,2.348662753,2.535581621,2.847262721
227.4112765,2.356811996,2.535581621,2.847262721
230.8534047,2.363336284,2.535581621,2.847262721
232.9015837,2.367172442,2.535581621,2.847262721
237.177551,2.37507358,2.535581621,2.847262721
241.182955,2.382346612,2.535581621,2.847262721
246.0279393,2.390984429,2.535581621,2.847262721
245.1701605,2.389467611,2.535581621,2.847262721
245.6025063,2.390232794,2.535581621,2.847262721
250.0179252,2.397971147,2.535581621,2.847262721
254.2984042,2.405343635,2.535581621,2.847262721
259.3976825,2.413966092,2.535581621,2.847262721
264.0389581,2.42166801,2.535581621,2.847262721
267.1950843,2.426828464,2.535581621,2.847262721
268.7783811,2.429394334,2.535581621,2.847262721
259.8381351,2.414702891,2.535581621,2.847262721
256.9810854,2.409901159,2.535581621,2.847262721
249.078659,2.396336519,2.535581621,2.847262721
250.2525064,2.398378436,2.535581621,2.847262721
252.4196109,2.402123093,2.535581621,2.847262721
247.2173399,2.393078929,2.535581621,2.847262721
245.6533254,2.390322648,2.535581621,2.847262721
243.0926667,2.385771858,2.535581621,2.847262721
244.078001,2.387528638,2.535581621,2.847262721
245.5886874,2.390208358,2.535581621,2.847262721
246.914199,2.392546065,2.535581621,2.847262721
249.8637297,2.397703218,2.535581621,2.847262721
254.114495,2.405029439,2.535581621,2.847262721
259.7553102,2.414564435,2.535581621,2.847262721
265.0176921,2.423274868,2.535581621,2.847262721
271.0254562,2.433010084,2.535581621,2.847262721
274.4586987,2.438477,2.535581621,2.847262721
279.3837072,2.446201076,2.535581621,2.847262721
283.2980574,2.452243597,2.535581621,2.847262721
289.621717,2.461831124,2.535581621,2.847262721
294.9975742,2.469818445,2.535581621,2.847262721
299.6313304,2.476587223,2.535581621,2.847262721
302.3568016,2.480519743,2.535581621,2.847262721
304.9089262,2.484170139,2.535581621,2.847262721
309.9979354,2.491358801,2.535581621,2.847262721
314.3355622,2.497393517,2.535581621,2.847262721
320.1375671,2.50533664,2.535581621,2.847262721
325.6661374,2.512772603,2.535581621,2.847262721
330.8913323,2.519685391,2.535581621,2.847262721
336.6833567,2.527221648,2.535581621,2.847262721
342.6704766,2.534876689,2.535581621,2.847262721
350.5170872,2.544709194,2.535581621,2.847262721
352.897808,2.547648961,2.535581621,2.847262721
345.9696227,2.539037968,2.535581621,2.847262721
351.0107962,2.545320474,2.535581621,2.847262721
355.3052204,2.550601589,2.535581621,2.847262721
