metric,KGE',KGE' wet,KGE' mid,KGE' dry,Average
NmKGE,0.8454748722664716,0.7987107305070095,0.8045489082749948,0.9666001989613273,0.8566199459144439
split_NmKGE,0.7844199284144127,0.8364112949102411,0.7675791483984004,0.965451521311896,0.8564806548735125
NnpKGE,0.8205197506915001,0.7764883923164769,0.7572700365550644,0.9026271297556234,0.8121285195423882
split_NNSE,0.7909877534593414,0.8650348964901223,0.7574272371438738,0.7885422063766084,0.8036681133368683
split_mean_NmKGE,0.6845609115914602,0.6746914050880592,0.7597342688643817,0.8539958593753253,0.7628071777759221
RMSE,0.7594037524725186,0.7589709912344521,0.49596250244182083,0.828793932215587,0.6945758086306201
NNSE,0.7172438890989681,0.7776574387195626,0.5592272514086903,0.7070182872543752,0.681300992460876
split_RMSE,0.8077299220723217,0.8160120738459149,0.49956938680207097,0.5346411230116062,0.616740861219864
split_NnpKGE,0.7396215311677421,0.6833115735861881,0.5498786756352942,0.5395527139204077,0.5909143210472967
mean_NmKGE,0.13865074244029396,0.5040921210270601,-0.05437770998483438,0.8066720241385905,0.4187954783936054
