Approach,Overall_NmKGE,Overall_calib,Wet_calib,Mid_calib,Dry_calib,Overall_valid,Wet_valid,Mid_valid,Dry_valid
"(""NNSE"", ""NmKGE"")",0.8260976328658967,0.8269183188590372,0.7719242169138854,0.7983258714468365,0.48804062296473416,0.7956585221608243,0.692587000581443,0.7754640635992374,0.4192427667263603
"(""NNSE"", ""mean_NmKGE"")",0.8259678594703668,0.818625865114336,0.7741847178950794,0.798376918092929,0.7043180874591335,0.7958693776029635,0.7089743995831155,0.7758451413885588,0.4324468930922037
"(""NNSE"", ""NnpKGE"")",0.8271956708172519,0.8255099276003263,0.7776573004282324,0.7941848193577361,0.5190595224338556,0.7974414936383692,0.6945992264679592,0.7769730273840196,0.4227289557197367
"(""NNSE"", ""split_NNSE"")",0.8260975410705471,0.8269182452760488,0.7719241574393757,0.7983257851532564,0.4880406248881593,0.7956584123315533,0.6925869533726458,0.7754639652297561,0.41924277855398634
"(""NNSE"", ""split_NmKGE"")",0.8456554602463301,0.8627811902744947,0.8060950064925881,0.8410775587456338,0.4796032093658648,0.8186432351693049,0.722716654815433,0.7949983040085101,0.42607813702438974
"(""NNSE"", ""split_mean_NmKGE"")",0.8413902569907359,0.8567609939482376,0.8128810659944111,0.8182900848745771,0.4886214638550769,0.8072711067489284,0.7270138065539247,0.781356716233528,0.4472577832834573
"(""NNSE"", ""split_NnpKGE"")",0.8257547788960523,0.8362848751339884,0.7900588069807539,0.8049418012681877,0.5783373386155074,0.8027725587402462,0.7380562748773344,0.7844007019045147,0.47501429012633445
"(""NmKGE"", ""NNSE"")",0.8260975677744135,0.8269182655277354,0.7719241937266498,0.7983257980707125,0.4880406756263411,0.7956584396396302,0.6925869773094426,0.7754639853837642,0.41924278463418224
"(""NmKGE"", ""mean_NmKGE"")",0.8376091225333067,0.8207671183104042,0.7797107201042549,0.7997572762617393,0.6697949217388461,0.8153965571267369,0.734519894898165,0.7769257129922598,0.448773810918879
"(""NmKGE"", ""NnpKGE"")",0.8356560333010072,0.8294120609614792,0.8079229024634823,0.7848107577411014,0.6221161375946473,0.7942294399102866,0.7161026950498453,0.7561389941344255,0.4531008510740723
"(""NmKGE"", ""split_NNSE"")",0.7988424440313964,0.802621403122262,0.7313075061690375,0.7845073054021645,0.4280504645698228,0.7710478044591141,0.6670898760127342,0.7580171734139148,0.4117931442764434
"(""NmKGE"", ""split_NmKGE"")",0.84569238151166,0.8628027716163336,0.8060920253549888,0.8411073463731765,0.47956162277111264,0.8186957067487224,0.7227104446800371,0.7950478117487669,0.42606077025597316
"(""NmKGE"", ""split_mean_NmKGE"")",0.8555778238499496,0.8680069038368093,0.81406052718616,0.8380075867016632,0.48736194093030427,0.8304187064243751,0.7301492628293047,0.8017739317391945,0.44217638637516804
"(""NmKGE"", ""split_NnpKGE"")",0.8257547796564343,0.8362848757597994,0.7900588073689367,0.8049418021149413,0.5783373378594462,0.8027725599004519,0.7380562753039269,0.7844007030003719,0.47501429005192713
"(""mean_NmKGE"", ""NNSE"")",0.8256536545275112,0.8173515767505242,0.7744104196570023,0.7972193137802477,0.7167516904908556,0.7957082735683998,0.7117336616610583,0.7747988964780755,0.43506154102684697
