Approach,Overall_NmKGE,Overall_calib,Wet_calib,Mid_calib,Dry_calib,Overall_valid,Wet_valid,Mid_valid,Dry_valid
"(""NNSE"", ""NNSE"")",0.8478017714650182,0.8885274635259545,0.8371835577708439,0.829596823939727,0.5263668538154225,0.8012487645365051,0.6955069383204904,0.7697349467031214,0.5084745750238164
"(""NNSE"", ""NmKGE"")",0.8438543921868911,0.8725605507335162,0.8374544277515675,0.802285218583428,0.5333773514286123,0.8077733056826214,0.7254464580750907,0.7637007794480531,0.48336079073251303
"(""NNSE"", ""mean_NmKGE"")",0.7891459982016261,0.7956003951142003,0.7317952351033571,0.7752494402705074,0.5442826467470081,0.7645875848417965,0.7294907477639372,0.7346514852799527,0.510194754926728
"(""NNSE"", ""NnpKGE"")",0.822864710397036,0.826787171548985,0.7698922984218373,0.8063838190571407,0.5066513070341957,0.8059436998918592,0.7067472422531129,0.7870402020163936,0.5364714956388492
"(""NNSE"", ""split_NNSE"")",0.8091801102426267,0.826763715354869,0.7719241933759273,0.7978236252072711,0.20717145944535684,0.7511244494308581,0.6925869769574391,0.7421410045717088,0.3920363845090371
"(""NNSE"", ""split_NmKGE"")",0.8214053538275595,0.8380019908228384,0.6987547517672732,0.8406176386413153,0.45331331745784764,0.8085426452112141,0.6280113809657027,0.7858294480898083,0.4111958729043544
"(""NNSE"", ""split_mean_NmKGE"")",0.7866870918323352,0.8430879077938431,0.7786461963083559,0.7823473631244399,0.516218899653039,0.7150336809574335,0.7116955503551825,0.6965502799656876,0.4270132847629682
"(""NNSE"", ""split_NnpKGE"")",0.7983059244882152,0.8234980226192279,0.7210096747459039,0.7907757518035673,0.47876102047048824,0.7483372421577231,0.6732345275181805,0.699490784418388,0.5658983202464583
"(""NmKGE"", ""NNSE"")",0.8518929036179931,0.893260962455498,0.8199407051453902,0.8551942168367869,0.5165731260399381,0.8223915168894638,0.707985316427916,0.7803561647241649,0.5100251928876695
"(""NmKGE"", ""NmKGE"")",0.8533323520440365,0.8792906994730666,0.8198066108136393,0.8499281619085904,0.5418837748022249,0.8465117925812504,0.7178083414125314,0.8092433034435084,0.46500240578532326
"(""NmKGE"", ""mean_NmKGE"")",0.8112766244919138,0.8157386191939525,0.7639648937273603,0.7953013334041675,0.5355706122710825,0.7840200480998537,0.7260710601376148,0.7566050494678428,0.5085557810001841
"(""NmKGE"", ""NnpKGE"")",0.8380752650202937,0.8564371074933556,0.7647536946125177,0.8569751727933478,0.5265039545206867,0.8517227098196019,0.7047809184558385,0.8158122295374002,0.5109044910280771
"(""NmKGE"", ""split_NNSE"")",0.8530463490420922,0.8638647413598356,0.7779755579664088,0.8571166981076368,0.1339335652195075,0.8466463627920493,0.7047809184558382,0.8160736558864262,0.40295511188311
"(""NmKGE"", ""split_NmKGE"")",0.8432896507887383,0.8591641708850041,0.7271338667918719,0.8496673298580013,0.4434639217055387,0.8202112815862914,0.6400936707346158,0.7921532064503797,0.40931960863211986
"(""NmKGE"", ""split_mean_NmKGE"")",0.8617360600485947,0.8623987882451168,0.777176406056895,0.8562063105315265,0.4906424652604621,0.8490230711735781,0.7047809184558383,0.8160348727961426,0.4815468413390894
"(""NmKGE"", ""split_NnpKGE"")",0.8057977862974313,0.8382337071544872,0.7437042893753705,0.7897948545966911,0.45144825289322366,0.736638084740731,0.6732345275181756,0.6851817947843729,0.5817405547831107
"(""mean_NmKGE"", ""NNSE"")",0.7379954646362414,0.7990557342837442,0.837021840832799,0.7060679416159181,0.5113630708104955,0.6579516264003988,0.6993357181750949,0.6067374181229012,0.5382573198714998
"(""mean_NmKGE"", ""NmKGE"")",0.8371602686526747,0.8738694460090698,0.8259562826742802,0.805209416772894,0.5648949880110369,0.8126152504701785,0.7546590555722014,0.7475219518895942,0.4834356008824197
"(""mean_NmKGE"", ""mean_NmKGE"")",0.7976530733778354,0.7990212956702647,0.7520190792598374,0.7685694414675998,0.742543815400299,0.7740394527777991,0.7428328267228952,0.7393672883891772,0.476607236349483
"(""mean_NmKGE"", ""NnpKGE"")",0.8142754206389271,0.8131224416706995,0.7790986869148321,0.7846645648864349,0.659761579038616,0.8203258039880471,0.7625084401602797,0.7864631502063739,0.4804492319560759
"(""mean_NmKGE"", ""split_NNSE"")",0.7869474309302606,0.8043179808359748,0.7203139871212444,0.8133512267978065,0.6106065995901645,0.7486700893770343,0.7006017867674881,0.7343924383539372,0.5019717026493657
"(""mean_NmKGE"", ""split_NmKGE"")",0.8112708033741877,0.8091829797844651,0.6853701425621846,0.8446003386117258,0.6564378716838949,0.8114501677141127,0.6595678849276082,0.785419750984085,0.43485018762993843
"(""mean_NmKGE"", ""split_mean_NmKGE"")",0.7839616466693752,0.8112333993100826,0.7333981881730108,0.8096099201425953,0.6652154294853836,0.7309811740602122,0.7329460547647313,0.7112717780113862,0.4457276476310918
"(""mean_NmKGE"", ""split_NnpKGE"")",0.8027564774762709,0.8213353500278036,0.7218994419726061,0.8257732471716676,0.7179143921423912,0.7467958715618555,0.6976227037752819,0.7139394108584453,0.44576963020345156
"(""NnpKGE"", ""NNSE"")",0.8167454896007936,0.881062953028084,0.8421172648628068,0.8278860379935077,0.5648709120018512,0.7470021714149591,0.7045773196781961,0.7041317951018938,0.5351936634861851
"(""NnpKGE"", ""NmKGE"")",0.8336474492156528,0.8692244132483674,0.8314974256462508,0.7959849638089431,0.5751268902893699,0.8038135833641862,0.7480695603819999,0.7502728837232784,0.4830250493109456
"(""NnpKGE"", ""mean_NmKGE"")",0.7933352035115576,0.8025095383640154,0.7499036057076095,0.7748265677343393,0.5701690256589821,0.7659691437230597,0.7325622148521054,0.7356845545142712,0.517444607833502
"(""NnpKGE"", ""NnpKGE"")",0.8099296270493929,0.8207034827056531,0.8010796630217079,0.7738972369221694,0.5533333256525823,0.8041164231780535,0.7427051822273276,0.7599941253084713,0.5353593418013003
"(""NnpKGE"", ""split_NNSE"")",0.8032124734170907,0.8197752982580604,0.7936775818122531,0.7755051830094173,0.1920479093382445,0.7531120514783101,0.6975794834410453,0.7331243033150642,0.38437027752021324
"(""NnpKGE"", ""split_NmKGE"")",0.8306528666342196,0.8390980102987425,0.7551660164163903,0.8354980337587511,0.5079874080984508,0.8060059769173523,0.6618504637318274,0.7826801324657144,0.41963234588613546
"(""NnpKGE"", ""split_mean_NmKGE"")",0.7990309196300099,0.8164645506496545,0.7789083410233026,0.7747978900752563,0.5531300614523843,0.7528205300907569,0.7137725074172442,0.7334101075458617,0.4255177517180063
"(""NnpKGE"", ""split_NnpKGE"")",0.805622993972024,0.8262802411128154,0.750179969699968,0.7977813044864687,0.5664613506927154,0.751980704807696,0.6902564563266628,0.7183745578843721,0.4442075194283372
"(""split_NNSE"", ""NNSE"")",0.7729822089974043,0.7992878703659804,0.8393377712547924,0.7098489742362026,0.5122278470110156,0.7346691433330352,0.6933613118946625,0.7020874068316941,0.4832505563867739
"(""split_NNSE"", ""NmKGE"")",0.8364685933642613,0.874116231741303,0.8284529115508746,0.7981320265441312,0.5685131201154803,0.8025178307597391,0.7344111435510672,0.7468817258890253,0.4540188261077005
"(""split_NNSE"", ""mean_NmKGE"")",0.797131041709259,0.8125045257362752,0.7436438531611582,0.804990686113093,0.4921131258936876,0.7735050647741321,0.7375299836111217,0.7466165245737398,0.5237822947618156
"(""split_NNSE"", ""NnpKGE"")",0.8120463128787726,0.8235483193322057,0.7679978863432192,0.8041745910784446,0.5469434086304634,0.8080204515608426,0.7102586403558238,0.7905970957184645,0.471302264297561
"(""split_NNSE"", ""split_NNSE"")",0.7953437714940966,0.8005933821344825,0.7290058046999597,0.7830459415273766,0.4285971652963233,0.7630243866999069,0.6653935370884918,0.7537868582597996,0.4510165067269245
"(""split_NNSE"", ""split_NmKGE"")",0.8019863546353919,0.8053559786272378,0.6741160088217505,0.836766096695991,0.4405233628562694,0.802886375202001,0.636882099259807,0.7871731531699762,0.40909144393571195
