Approach,Overall_A2k,Mean_A2k,Overall_calib,Wet_calib,Mid_calib,Dry_calib,Overall_valid,Wet_valid,Mid_valid,Dry_valid
"(""NNSE"", ""NmKGE"")",33.05467116144635,7.900393827855123,6.037744427464987,5.238708122857184,8.614630514664976,9.84784284604321,31.171574579721575,5.726952546251998,35.59939437521028,39.10786718572013
"(""NNSE"", ""mean_NmKGE"")",166.03685490575833,26.58484774057152,40.62251670085915,5.878877081913087,68.24820516772162,5.627460972079845,107.05558119217287,7.912373015031044,131.59896024881604,49.603856736048506
"(""NNSE"", ""NnpKGE"")",377.0489013156653,34.445982236247495,53.85400937661286,4.893620600881082,85.54602503366695,12.898301074194466,253.70937371409605,6.354157880927264,319.4666371512711,60.11054393584576
"(""NNSE"", ""split_NNSE"")",169.19058102841473,66.74481507016134,125.12024981806118,13.743202165120874,180.66337519445835,5.82786785090479,50.067104580264335,6.954078287519274,79.10863403802878,25.07331165752755
"(""NNSE"", ""split_NmKGE"")",570.2107216358039,107.50471791219847,207.7368715661941,37.03907988708131,281.4417907055353,4.033283143978804,476.19125860605186,23.07697028327538,506.5369936775412,84.0962862252225
"(""NNSE"", ""split_mean_NmKGE"")",7.657789493612498,11.194862164097069,9.798858726548255,2.1113425024326875,15.535988001439927,15.937255988418594,7.702185573937404,2.466402916009697,9.464850600679904,20.463170021917417
"(""NNSE"", ""split_NnpKGE"")",98.88537310486444,33.04700822750354,51.17365087244564,14.111373225821373,83.75889716441117,1.270754292278082,52.87359965713509,5.15288782560311,79.0244347901466,20.69580000829493
"(""NmKGE"", ""NNSE"")",46.70645045326439,15.943396693729136,5.6913884993629,4.819235798917706,8.62326325986531,34.3876910224044,37.722575991017656,5.720265038966984,38.17591947367236,102.9108722502557
"(""NmKGE"", ""mean_NmKGE"")",26.75104695873155,23.80659900032482,17.3560113414825,4.6294294222408965,32.52875045108367,34.2616171276499,18.220721489338683,7.0389155916522,21.227579250308196,100.67606591725144
"(""NmKGE"", ""NnpKGE"")",18.290146109263443,19.894153158541478,13.71355366663373,3.023294943805415,25.698109485799446,30.961055046019574,16.142345844796072,6.062891969475002,13.371251088857186,102.98506647000876
"(""NmKGE"", ""split_NNSE"")",31.199521714952127,15.780490469876591,3.2262894740368604,8.243508307390371,4.0260285761398595,35.07193452609955,32.44171346151482,7.185315067623861,41.248143414078505,95.52206128352556
