Approach,Overall_NmKGE,Overall_calib,Wet_calib,Mid_calib,Dry_calib,Overall_valid,Wet_valid,Mid_valid,Dry_valid
"(""NNSE"", ""NmKGE"")",0.8374541486850138,0.8782090706801026,0.8366858503266709,0.8048582614598151,0.5416019624460556,0.8049413602203064,0.7472622180618851,0.7442967137347798,0.5249594548264281
"(""NNSE"", ""mean_NmKGE"")",0.8407745798337434,0.8763868827182012,0.8235852579972831,0.8439945575062027,0.5224237328426053,0.8109961540679059,0.718799218860185,0.7730929691250603,0.5371746269941566
"(""NNSE"", ""NnpKGE"")",0.8113941425410931,0.8798626115242131,0.839256764216309,0.8371099078208776,0.5532761565320337,0.789681687859918,0.7418561800323191,0.7492188148587879,0.5386465150820371
"(""NNSE"", ""split_NNSE"")",0.8281069717707876,0.8762006532097819,0.7970315831849822,0.8095089765250358,0.4901376152999189,0.7673733155249912,0.6584884936663365,0.7541869259080014,0.6016280823301654
"(""NNSE"", ""split_NmKGE"")",0.843169301247791,0.8852872167145205,0.7737572012664038,0.8187365858112722,0.5192518189326794,0.7843499758136936,0.6434825436065096,0.7446975537944841,0.5250324336288192
"(""NNSE"", ""split_mean_NmKGE"")",0.8305081364261079,0.8742901495003297,0.8352626001282553,0.7829991428429973,0.5123780979261853,0.7733656510002372,0.7148317820380546,0.7425779260442013,0.5323369663851066
"(""NNSE"", ""split_NnpKGE"")",0.8311733573880989,0.8659551558406156,0.8064276515932053,0.7917332537403861,0.5231933075517252,0.7692203730893962,0.6839040169621722,0.7196437097135915,0.5688316245746503
"(""NmKGE"", ""NNSE"")",0.8269630566772219,0.8772642087213872,0.83415355831226,0.8040332126616031,0.5592451027976886,0.8051508695508091,0.7471791597356098,0.7451666216740181,0.48539207156534925
"(""NmKGE"", ""mean_NmKGE"")",0.8418366264133705,0.8727199462663869,0.8231598129487288,0.8087857563380293,0.5600421226846711,0.8169300078180713,0.7498882405242321,0.7587724920518217,0.4903485867070265
"(""NmKGE"", ""NnpKGE"")",0.8385336676445365,0.8732936374023709,0.8277914681126571,0.8124631184536605,0.566391057625394,0.8241271183729519,0.7573952471300736,0.7664365420796398,0.48599067102648397
"(""NmKGE"", ""split_NNSE"")",0.8299117141083168,0.8796380537009485,0.8240081699268835,0.8081723421836194,0.5523715785833575,0.7702543583916526,0.7019727805040479,0.7338501920045599,0.5579601855626909
"(""NmKGE"", ""split_NmKGE"")",0.8452980145065478,0.8813540041746663,0.803324171427073,0.831938045710775,0.5533219081625723,0.8151122501676888,0.681822486317229,0.7773064526596137,0.47091206286347487
"(""NmKGE"", ""split_mean_NmKGE"")",0.8292421021418112,0.8782438621696377,0.834186748915036,0.7852168206931818,0.5625904189807958,0.7701443958788782,0.7391248668627586,0.7224531856521095,0.5601454325788912
"(""NmKGE"", ""split_NnpKGE"")",0.8389352244386864,0.8770752901329399,0.822050381722153,0.7997946362993622,0.5572653394682803,0.7949413949645547,0.7288095681806104,0.7307457468167944,0.5275026132834715
"(""mean_NmKGE"", ""NNSE"")",0.8364872963147882,0.8682463663148963,0.802835461749195,0.8398976201615432,0.5465315978111491,0.7992717913890284,0.7162372233969239,0.759896106846333,0.5362363355183392
"(""mean_NmKGE"", ""NmKGE"")",0.8461735988585118,0.8744983022510582,0.8266467319411522,0.8143570580424863,0.5649322960633174,0.8128662788737727,0.754532815338919,0.7479007357144223,0.4837540128919398
"(""mean_NmKGE"", ""NnpKGE"")",0.8152601925112256,0.8140929875675705,0.7585707091006756,0.7971697173173264,0.56075742707891,0.8203772747149845,0.750566702416839,0.7928824441410358,0.5344860825900828
"(""mean_NmKGE"", ""split_NNSE"")",0.7789445406658042,0.8016941066803356,0.6974387426747871,0.8243375707078141,0.3604934650269764,0.7324932572381058,0.690956033172307,0.7198713251062694,0.5657901472433378
"(""mean_NmKGE"", ""split_NmKGE"")",0.8030808886864989,0.8067416084288571,0.6796851958776979,0.8414687144188197,0.5071251382837483,0.812056266609271,0.6553368661545041,0.7945508581270818,0.4692699380760515
"(""mean_NmKGE"", ""split_mean_NmKGE"")",0.7770972448849864,0.8043893510662594,0.7111013003644449,0.8045376286103578,0.5381385744383713,0.7194210786047315,0.7274712955044279,0.6976564891846622,0.49017577941067886
"(""mean_NmKGE"", ""split_NnpKGE"")",0.7882736589842344,0.8107799842903745,0.7058147834557736,0.8111875059320239,0.5139708809195488,0.7390368511133916,0.6877698827503261,0.7040971328015112,0.45281071901784586
"(""NnpKGE"", ""NNSE"")",0.836097487405907,0.8828385695480141,0.8294783255550725,0.8404706404548864,0.5597693979125897,0.8053112808269172,0.7472637277045839,0.7582542359800377,0.5380808719898325
"(""NnpKGE"", ""NmKGE"")",0.8305669932336986,0.8717106679293208,0.8249157535891266,0.8119547813105373,0.5433288865929159,0.8240816136123482,0.759615126245846,0.7665467728828893,0.5274478687548064
"(""NnpKGE"", ""mean_NmKGE"")",0.805895594798767,0.8140999196246919,0.758759841960856,0.7967153961166221,0.5364444883502726,0.8226724783381063,0.7499188065207391,0.795898324863146,0.535950718241056
"(""NnpKGE"", ""split_NNSE"")",0.7985511928443362,0.8434625679645192,0.7543426168477518,0.8373645596381601,0.518134732090163,0.7700783017904926,0.6860181156114937,0.7545778117976016,0.5370613526582901
"(""NnpKGE"", ""split_NmKGE"")",0.8092920993248297,0.8432601274859629,0.7444519009926787,0.8565294243812894,0.5200130361785202,0.817389353163671,0.6675732869712758,0.8036058255795375,0.5370080972459813
"(""NnpKGE"", ""split_mean_NmKGE"")",0.7973782449337317,0.8387987603215389,0.7610911512081805,0.8105224704136217,0.5407878217216987,0.7733020066871483,0.7305184026358925,0.7441533811081694,0.5359289181728513
"(""NnpKGE"", ""split_NnpKGE"")",0.8078478842711416,0.8354922546280024,0.7523157035465136,0.8341766168099172,0.5284328516348298,0.8029279179637135,0.7195538434624769,0.7682188354809002,0.5362989762002092
"(""split_NNSE"", ""NNSE"")",0.7962204381014656,0.8447401415193878,0.763509479969774,0.7774898340744966,0.47744926672678795,0.7607789819499581,0.6782197301627045,0.717877537588662,0.5435965728328171
"(""split_NNSE"", ""NmKGE"")",0.8333863856141928,0.8748681860515107,0.8284165793750934,0.8015959225095436,0.5352444187609645,0.7755371273573709,0.7296202063638079,0.7298270449423644,0.5391026682824848
"(""split_NNSE"", ""mean_NmKGE"")",0.7887129154253693,0.8016318567900058,0.6969665438134754,0.8247629090148737,0.4895454641537118,0.7814962391857514,0.7276080788847882,0.7599932297038091,0.5037666010312433
"(""split_NNSE"", ""NnpKGE"")",0.8063541792507195,0.8250334579160381,0.7396351937044144,0.8316854820856227,0.478031362794527,0.7811239419368146,0.7216146850128479,0.7705389459487142,0.523151079457796
