NNSE,NmKGE,NnpKGE,mean_NmKGE,split_NNSE,split_NmKGE,split_NnpKGE,split_mean_NmKGE
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,2,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,2,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,2,3
3,3,3,3,3,3,2,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,2,3,3,3,3
3,3,3,2,3,3,3,3
3,2,3,2,3,3,3,2
3,2,3,2,3,3,3,2
3,2,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
