metric,KGE',NSE,NNSE,NmKGE,RMSE,mean_NmKGE,NnpKGE,split_NNSE,split_NmKGE,split_RMSE,split_mean_NmKGE,split_NnpKGE
split_NNSE,0.8650348964901223,0.941507058506723,0.9447394128006583,0.8810843583714615,137.20814060122808,0.8599662589862153,0.920705080991658,0.9447394128006583,0.8810843583714615,137.20814060122808,0.8599662589862153,0.920705080991658
split_NmKGE,0.8364112949102411,0.7303669924407227,0.7876291763415826,0.859410198488357,278.48263489847807,0.7592654758560049,0.9031238118407583,0.7876291763415826,0.859410198488357,278.48263489847807,0.7592654758560049,0.9031238118407583
split_RMSE,0.8160120738459149,0.7277172601067491,0.785988812584146,0.8446032074400218,111.8571989053975,0.8451411819425364,0.9742060811985983,0.7441393005439275,0.8103095068873276,96.34276766394386,0.792491764588345,0.9115714036259283
NmKGE,0.7987107305070095,0.592170318714923,0.7103131957604366,0.8324389681946084,173.4956221196573,0.7335808619645808,0.9592467070309053,0.6334051767260436,0.7579323424238812,155.79926231578668,0.7062559913110998,0.9028316085073115
NNSE,0.7776574387195626,0.6790918934620978,0.7570549344427889,0.8181012685613045,146.16960582703146,0.7860237863706432,0.9782669109818306,0.6932916773363837,0.7752010165208428,140.17954185759842,0.7566821851872085,0.9039887137831206
NnpKGE,0.7764883923164769,0.5854598310252126,0.7069435155911955,0.8173195854621289,168.82629570292454,0.7948877381529329,0.908615453070389,0.67070533787637,0.7866395473245952,161.43542028179243,0.7719893748910147,0.8732805759877854
RMSE,0.7589709912344521,0.7396261906320949,0.7934154078475447,0.8057829373341565,110.00510610158047,0.8029024399797369,0.9199096831012754,0.7769372007614328,0.8009232742124031,102.252499348952,0.7875245568628895,0.8894523269068411
split_NnpKGE,0.6833115735861881,0.5101287837863312,0.6711989527130953,0.7594811194047191,198.77610200298187,0.7459465004389991,0.9429586305456323,0.5911677986048229,0.7101712977178278,190.7995814348252,0.7058622133415242,0.9313311161802352
split_mean_NmKGE,0.6746914050880592,0.4575082349245425,0.6483016782595794,0.7545412471021093,139.52261454066166,0.6544388816939716,0.7886306488777408,0.5573094033067949,0.6977894852951934,128.25038791901733,0.7254718746815324,0.7441919203516807
mean_NmKGE,0.5040921210270601,0.4733072171843765,0.655010629025007,0.6684903623120027,264.77607753528486,0.65172177244472,0.902566924557134,0.6577296958822928,0.6930376760939884,234.325250568744,0.6792511665634006,0.8946508210260341
